Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.35,0.53,0.05,0.5,0.27,0.29,0.38,0.4,0.04,0.35,0.43,0.08,0.38,0.41,0.05
Online Users (Regular),0.37,0.53,0.05,0.5,0.28,0.28,0.39,0.42,0.05,0.37,0.45,0.1,0.38,0.43,0.06
Online Users (Uncalibrated),0.57,0.33,0.34,0.57,0.28,0.32,0.49,0.37,0.12,0.51,0.34,0.16,0.51,0.34,0.1
Users aged Less Than 20 Years,0.34,0.56,0.01,0.49,0.29,0.27,0.38,0.43,0.06,0.35,0.48,0.12,0.36,0.46,0.09
Users aged Between 20 and 29 Years,0.36,0.53,0.05,0.5,0.28,0.29,0.39,0.41,0.05,0.36,0.45,0.09,0.38,0.42,0.06
Users aged Between 30 and 39 Years,0.38,0.5,0.08,0.5,0.28,0.29,0.38,0.43,0.06,0.34,0.46,0.11,0.36,0.44,0.08
Users aged Between 40 and 49 Years,0.38,0.52,0.07,0.52,0.27,0.3,0.42,0.4,0.05,0.39,0.42,0.08,0.42,0.4,0.02
Users aged Between 50 and 59 Years,0.36,0.53,0.05,0.5,0.28,0.29,0.39,0.41,0.05,0.36,0.45,0.09,0.38,0.42,0.06
Users aged Above 60 Years,0.32,0.55,0.03,0.5,0.27,0.29,0.37,0.4,0.03,0.33,0.43,0.07,0.36,0.39,0.07
Female Users,0.37,0.53,0.05,0.5,0.28,0.29,0.39,0.41,0.05,0.37,0.45,0.09,0.39,0.43,0.05
Male Users,0.37,0.52,0.06,0.51,0.28,0.29,0.39,0.41,0.05,0.36,0.44,0.09,0.38,0.42,0.05
Other Gender Users,0.3,0.59,0.04,0.47,0.29,0.26,0.34,0.39,0.04,0.31,0.44,0.09,0.33,0.39,0.09
