Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.6,0.33,0.04,0.56,0.27,0.08,0.54,0.34,0.08,0.56,0.33,0.07,0.56,0.33,0.13
Online Users (Regular),0.58,0.34,0.06,0.56,0.27,0.08,0.54,0.35,0.08,0.56,0.34,0.07,0.56,0.34,0.13
Online Users (Uncalibrated),0.57,0.39,0.1,0.54,0.29,0.06,0.54,0.39,0.07,0.56,0.39,0.09,0.56,0.39,0.14
Users aged Less Than 20 Years,0.6,0.36,0.05,0.56,0.27,0.08,0.56,0.35,0.1,0.59,0.35,0.1,0.59,0.35,0.16
Users aged Between 20 and 29 Years,0.58,0.33,0.06,0.57,0.27,0.08,0.54,0.34,0.08,0.56,0.33,0.08,0.56,0.33,0.13
Users aged Between 30 and 39 Years,0.61,0.32,0.03,0.55,0.27,0.09,0.56,0.34,0.1,0.59,0.33,0.1,0.58,0.33,0.15
Users aged Between 40 and 49 Years,0.6,0.34,0.04,0.56,0.29,0.07,0.51,0.37,0.04,0.53,0.34,0.04,0.53,0.35,0.1
Users aged Between 50 and 59 Years,0.58,0.33,0.06,0.57,0.27,0.08,0.54,0.34,0.08,0.56,0.33,0.08,0.56,0.33,0.13
Users aged Above 60 Years,0.63,0.34,0.02,0.53,0.26,0.1,0.57,0.35,0.11,0.61,0.35,0.12,0.6,0.35,0.17
Female Users,0.59,0.35,0.06,0.55,0.27,0.08,0.55,0.35,0.08,0.57,0.34,0.08,0.57,0.34,0.14
Male Users,0.58,0.33,0.06,0.57,0.27,0.08,0.54,0.34,0.08,0.56,0.33,0.07,0.56,0.33,0.13
Other Gender Users,0.64,0.33,0,0.56,0.25,0.11,0.6,0.33,0.14,0.64,0.33,0.15,0.64,0.33,0.21
