id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11,distance_pair12
57153eb9b4bed,objTwoColors,#00FF80,0,131,41,5,0.7,0.12,0.08,0.09,0.14,0.18,0.56,0.58,0.57,0.59,0.58,0.63,0.64,0.72,0.64,0.64,0.22,0.23
5716e9900f6ea,objTwoColors,#00FF80,55,184,133,3,0.79,0.11,0.15,0.06,0.11,0.12,0.43,0.44,0.44,0.44,0.44,0.22,0.22,0.18,0.22,0.22,0.33,0.34
57190633f233f,objTwoColors,#00FF80,109,169,456,1,0.76,0.06,0.12,0.08,0.16,0.21,0.23,0.24,0.3,0.25,0.24,0.04,0.05,0.2,0.04,0.05,0.45,0.46
572106a31c230,objTwoColors,#00FF80,191,50,328,3,0.25,0.11,0.14,0.06,0.09,0.09,0.38,0.39,0.28,0.38,0.39,0.57,0.58,0.59,0.58,0.58,0.67,0.67
5727633cd6511,objTwoColors,#00FF80,244,6,869,1,0.28,0.33,0.11,0.09,0.19,0.12,0.82,0.83,0.72,0.82,0.83,0.94,0.94,0.9,0.95,0.94,0.95,0.94
5727f6d19e901,objTwoColors,#00FF80,242,57,284,2,0.02,0.32,0.07,0.03,0.06,0.05,0.56,0.57,0.51,0.57,0.57,0.77,0.78,0.81,0.78,0.78,0.78,0.78
572934019041e,objTwoColors,#00FF80,59,187,237,5,0.81,0.1,0.14,0.06,0.11,0.12,0.43,0.45,0.44,0.45,0.45,0.21,0.23,0.16,0.22,0.23,0.36,0.37
5734918f46823,objTwoColors,#00FF80,53,187,86,3,0.81,0.11,0.15,0.06,0.1,0.11,0.46,0.47,0.46,0.47,0.47,0.24,0.25,0.18,0.24,0.25,0.33,0.35
5734aa4c927a8,objTwoColors,#00FF80,261,59,1059,3,0.02,0.35,0.07,0.02,0.04,0.03,0.53,0.55,0.5,0.56,0.55,0.75,0.76,0.78,0.76,0.76,0.75,0.76
5734b3efd45eb,objTwoColors,#00FF80,188,133,254,3,0.38,0.06,0.13,0.09,0.12,0.17,0.47,0.48,0.43,0.49,0.48,0.54,0.55,0.58,0.55,0.55,0.65,0.66
5734d89183dab,objTwoColors,#00FF80,58,193,79,4,0.84,0.1,0.14,0.05,0.1,0.1,0.47,0.48,0.47,0.48,0.48,0.26,0.26,0.15,0.26,0.26,0.39,0.4
5735d3455a84c,objTwoColors,#00FF80,168,157,614,5,0.5,0.08,0.15,0.07,0.1,0.17,0.36,0.4,0.33,0.4,0.39,0.3,0.32,0.34,0.32,0.32,0.5,0.51
5736048bb110b,objTwoColors,#00FF80,137,146,306,5,0.66,0.05,0.11,0.1,0.18,0.25,0.17,0.19,0.22,0.2,0.19,0.19,0.2,0.31,0.2,0.2,0.58,0.59
573634984323e,objTwoColors,#00FF80,149,146,416,5,0.6,0.03,0.12,0.08,0.16,0.23,0.23,0.25,0.21,0.26,0.25,0.25,0.26,0.3,0.26,0.26,0.57,0.57
57363b3954a26,objTwoColors,#00FF80,188,65,338,3,0.25,0.1,0.14,0.06,0.12,0.12,0.34,0.36,0.3,0.37,0.36,0.54,0.54,0.56,0.55,0.54,0.65,0.65
57366c199283c,objTwoColors,#00FF80,0,147,150,5,0.69,0.1,0.09,0.08,0.1,0.15,0.55,0.57,0.57,0.58,0.57,0.57,0.58,0.65,0.58,0.58,0.16,0.17
5738cf3d97a58,objTwoColors,#00FF80,0,161,625,2,0.73,0.09,0.1,0.07,0.04,0.11,0.59,0.61,0.59,0.61,0.61,0.48,0.49,0.57,0.49,0.49,0.07,0.08
57427cf6bad0c,objTwoColors,#00FF80,0,156,3,3,0.71,0.09,0.1,0.07,0.06,0.13,0.57,0.59,0.58,0.6,0.59,0.51,0.52,0.6,0.52,0.52,0.1,0.11
574297edae49c,objTwoColors,#00FF80,159,156,92,4,0.56,0.05,0.14,0.07,0.12,0.19,0.31,0.33,0.27,0.34,0.33,0.25,0.26,0.29,0.26,0.26,0.5,0.51
574511e99b6d9,objTwoColors,#00FF80,187,58,88,4,0.24,0.1,0.14,0.06,0.11,0.12,0.32,0.33,0.28,0.33,0.33,0.53,0.54,0.56,0.54,0.54,0.65,0.65
57451c3b38192,objTwoColors,#00FF80,0,150,462,5,0.7,0.1,0.1,0.08,0.08,0.14,0.56,0.58,0.57,0.59,0.58,0.55,0.56,0.64,0.56,0.56,0.14,0.15
5745350dc1e22,objTwoColors,#00FF80,59,197,104,4,0.86,0.1,0.13,0.05,0.09,0.09,0.48,0.5,0.49,0.5,0.5,0.27,0.29,0.17,0.28,0.29,0.42,0.43
5745500f6e643,objTwoColors,#00FF80,109,0,194,3,0.83,0.15,0.08,0.1,0.16,0.18,0.3,0.3,0.32,0.28,0.3,0.41,0.41,0.5,0.41,0.41,0.82,0.82
57459c393bbd0,objTwoColors,#00FF80,3,114,361,4,0.7,0.13,0.08,0.1,0.16,0.18,0.56,0.57,0.57,0.58,0.57,0.65,0.65,0.74,0.65,0.65,0.24,0.25
5745b5cbe3caa,objTwoColors,#00FF80,199,52,150,4,0.19,0.1,0.13,0.04,0.08,0.08,0.42,0.43,0.33,0.42,0.43,0.62,0.62,0.64,0.63,0.62,0.69,0.69
5745c1c07cc0c,objTwoColors,#00FF80,168,98,168,4,0.47,0.09,0.13,0.08,0.16,0.21,0.33,0.36,0.3,0.37,0.36,0.43,0.45,0.48,0.45,0.45,0.63,0.64
5745f6f039dc9,objTwoColors,#00FF80,0,0,0,4,0.83,0.39,0.05,0.24,0.3,0.25,0.69,0.7,0.64,0.68,0.7,0.8,0.81,0.82,0.81,0.81,0.39,0.4
